"Aikaleima,""Mitä odotat kurssilta?"",""Mitä työkaluja olet käyttännyt?"",""Millainen kommunikointi teamillä on?"",""Onko teamin työnjako selkeä?"",""Kuinka motivoitunut olet kurssista?""";;;
"2016/10/28 2:00:03 ip. UTC+3,""Jotain"",""Google Forms"",""Erinomainen"",""Kyllä"",""4""";;;
"2016/10/28 2:06:18 ip. UTC+3,""Front end suunnittelua"",""Google Forms"",""Hyvä"",""Kyllä"",""4""";;;
"2016/10/28 2:06:31 ip. UTC+3,""Projektityöskentelyä"",""Google Forms"",""Hyvä"",""Kyllä"",""3""";;;
"2016/10/28 2:08:30 ip. UTC+3,""Mainetta ja kunniaa"",""Github";Trello;"Google Forms"",""Erinomainen"",""Kyllä"",""3""";
"2016/10/28 2:08:56 ip. UTC+3,""Yhteistyötä"",""Github"",""Erinomainen"",""Kyllä"",""4""";;;
"2016/10/28 2:10:27 ip. UTC+3,""Lisää tietoa aiheesta"",""Github";"Google Forms"",""Erinomainen"",""Kyllä"",""4""";;
"2016/10/28 2:10:41 ip. UTC+3,""en tiedä"",""Github";Slack;Trello;"Google Forms"",""Hyvä"",""Ei"",""2"""
